0,0,-73.0
0,1,-74.0
0,2,-76.0
0,3,-78.0
0,4,-79.0
0,5,-77.0
0,6,-75.0
0,7,-72.0
0,8,-71.0
0,9,-70.0
0,10,-70.0
0,11,-71.0
0,12,-74.0
0,13,-78.0
0,14,-84.0
0,15,-78.0
0,16,-77.0
0,17,-79.0
0,18,-81.0
0,19,-77.0
0,20,-71.0
0,21,-70.0
0,22,-66.0
0,23,-65.0
1,0,-69.0
1,1,-69.0
1,2,-67.0
1,3,-68.0
1,4,-67.0
1,5,-67.0
1,6,-66.0
1,7,-68.0
1,8,-67.0
1,9,-67.0
1,10,-68.0
1,11,-71.0
1,12,-75.0
1,13,-87.0
1,14,-75.0
1,15,-71.0
1,16,-70.0
1,17,-72.0
1,18,-71.0
1,19,-73.0
1,20,-70.0
1,21,-69.0
1,22,-66.0
1,23,-64.0
2,0,-68.0
2,1,-70.0
2,2,-65.0
2,3,-65.0
2,4,-65.0
2,5,-64.0
2,6,-64.0
2,7,-65.0
2,8,-66.0
2,9,-68.0
2,10,-69.0
2,11,-71.0
2,12,-80.0
2,13,-78.0
2,14,-71.0
2,15,-68.0
2,16,-66.0
2,17,-66.0
2,18,-67.0
2,19,-69.0
2,20,-69.0
2,21,-69.0
2,22,-65.0
2,23,-64.0
3,0,-65.0
3,1,-66.0
3,2,-65.0
3,3,-64.0
3,4,-63.0
3,5,-63.0
3,6,-64.0
3,7,-64.0
3,8,-64.0
3,9,-66.0
3,10,-69.0
3,11,-72.0
3,12,-77.0
3,13,-73.0
3,14,-68.0
3,15,-66.0
3,16,-64.0
3,17,-63.0
3,18,-66.0
3,19,-69.0
3,20,-70.0
3,21,-69.0
3,22,-65.0
3,23,-64.0
4,0,-66.0
4,1,-67.0
4,2,-66.0
4,3,-65.0
4,4,-64.0
4,5,-64.0
4,6,-63.0
4,7,-64.0
4,8,-64.0
4,9,-66.0
4,10,-68.0
4,11,-70.0
4,12,-74.0
4,13,-69.0
4,14,-68.0
4,15,-66.0
4,16,-64.0
4,17,-64.0
4,18,-65.0
4,19,-66.0
4,20,-70.0
4,21,-70.0
4,22,-68.0
4,23,-65.0
5,0,-67.0
5,1,-67.0
5,2,-70.0
5,3,-67.0
5,4,-65.0
5,5,-64.0
5,6,-64.0
5,7,-65.0
5,8,-66.0
5,9,-68.0
5,10,-69.0
5,11,-72.0
5,12,-72.0
5,13,-69.0
5,14,-68.0
5,15,-66.0
5,16,-65.0
5,17,-64.0
5,18,-66.0
5,19,-67.0
5,20,-71.0
5,21,-74.0
5,22,-70.0
5,23,-67.0
6,0,-68.0
6,1,-70.0
6,2,-70.0
6,3,-69.0
6,4,-66.0
6,5,-66.0
6,6,-64.0
6,7,-65.0
6,8,-66.0
6,9,-68.0
6,10,-72.0
6,11,-71.0
6,12,-72.0
6,13,-70.0
6,14,-69.0
6,15,-66.0
6,16,-65.0
6,17,-65.0
6,18,-65.0
6,19,-65.0
6,20,-74.0
6,21,-86.0
6,22,-76.0
6,23,-69.0
7,0,-69.0
7,1,-70.0
7,2,-79.0
7,3,-74.0
7,4,-68.0
7,5,-67.0
7,6,-66.0
7,7,-66.0
7,8,-66.0
7,9,-68.0
7,10,-69.0
7,11,-74.0
7,12,-75.0
7,13,-73.0
7,14,-69.0
7,15,-71.0
7,16,-67.0
7,17,-69.0
7,18,-70.0
7,19,-72.0
7,20,-77.0
7,21,-75.0
7,22,-71.0
7,23,-67.0
8,0,-71.0
8,1,-69.0
8,2,-78.0
8,3,-81.0
8,4,-74.0
8,5,-68.0
8,6,-67.0
8,7,-67.0
8,8,-66.0
8,9,-67.0
8,10,-71.0
8,11,-75.0
8,12,-76.0
8,13,-75.0
8,14,-72.0
8,15,-72.0
8,16,-71.0
8,17,-72.0
8,18,-71.0
8,19,-73.0
8,20,-73.0
8,21,-71.0
8,22,-69.0
8,23,-68.0
9,0,-67.0
9,1,-68.0
9,2,-68.0
9,3,-77.0
9,4,-76.0
9,5,-70.0
9,6,-72.0
9,7,-68.0
9,8,-66.0
9,9,-67.0
9,10,-67.0
9,11,-71.0
9,12,-72.0
9,13,-72.0
9,14,-72.0
9,15,-75.0
9,16,-76.0
9,17,-77.0
9,18,-75.0
9,19,-77.0
9,20,-72.0
9,21,-69.0
9,22,-68.0
9,23,-67.0
10,0,-66.0
10,1,-65.0
10,2,-67.0
10,3,-72.0
10,4,-75.0
10,5,-71.0
10,6,-68.0
10,7,-66.0
10,8,-64.0
10,9,-64.0
10,10,-65.0
10,11,-67.0
10,12,-69.0
10,13,-70.0
10,14,-71.0
10,15,-75.0
10,16,-80.0
10,17,-84.0
10,18,-84.0
10,19,-77.0
10,20,-73.0
10,21,-69.0
10,22,-68.0
10,23,-67.0
11,0,-66.0
11,1,-64.0
11,2,-65.0
11,3,-69.0
11,4,-73.0
11,5,-76.0
11,6,-72.0
11,7,-67.0
11,8,-64.0
11,9,-63.0
11,10,-64.0
11,11,-65.0
11,12,-67.0
11,13,-69.0
11,14,-70.0
11,15,-72.0
11,16,-75.0
11,17,-75.0
11,18,-78.0
11,19,-83.0
11,20,-75.0
11,21,-71.0
11,22,-68.0
11,23,-67.0
12,0,-67.0
12,1,-64.0
12,2,-65.0
12,3,-66.0
12,4,-72.0
12,5,-80.0
12,6,-75.0
12,7,-70.0
12,8,-67.0
12,9,-65.0
12,10,-64.0
12,11,-66.0
12,12,-68.0
12,13,-70.0
12,14,-70.0
12,15,-71.0
12,16,-71.0
12,17,-71.0
12,18,-73.0
12,19,-79.0
12,20,-74.0
12,21,-70.0
12,22,-66.0
12,23,-65.0
13,0,-65.0
13,1,-64.0
13,2,-64.0
13,3,-67.0
13,4,-70.0
13,5,-73.0
13,6,-77.0
13,7,-75.0
13,8,-73.0
13,9,-68.0
13,10,-67.0
13,11,-68.0
13,12,-70.0
13,13,-72.0
13,14,-74.0
13,15,-72.0
13,16,-70.0
13,17,-70.0
13,18,-71.0
13,19,-73.0
13,20,-69.0
13,21,-66.0
13,22,-62.0
13,23,-63.0
14,0,-67.0
14,1,-63.0
14,2,-64.0
14,3,-65.0
14,4,-66.0
14,5,-68.0
14,6,-68.0
14,7,-71.0
14,8,-71.0
14,9,-73.0
14,10,-76.0
14,11,-75.0
14,12,-74.0
14,13,-78.0
14,14,-74.0
14,15,-71.0
14,16,-68.0
14,17,-68.0
14,18,-67.0
14,19,-67.0
14,20,-65.0
14,21,-63.0
14,22,-61.0
14,23,-61.0
15,0,-69.0
15,1,-66.0
15,2,-63.0
15,3,-64.0
15,4,-65.0
15,5,-66.0
15,6,-66.0
15,7,-67.0
15,8,-67.0
15,9,-70.0
15,10,-74.0
15,11,-81.0
15,12,-80.0
15,13,-75.0
15,14,-71.0
15,15,-68.0
15,16,-66.0
15,17,-64.0
15,18,-64.0
15,19,-64.0
15,20,-63.0
15,21,-60.0
15,22,-60.0
15,23,-60.0
16,0,-71.0
16,1,-66.0
16,2,-65.0
16,3,-62.0
16,4,-63.0
16,5,-64.0
16,6,-63.0
16,7,-62.0
16,8,-64.0
16,9,-65.0
16,10,-70.0
16,11,-74.0
16,12,-80.0
16,13,-80.0
16,14,-73.0
16,15,-68.0
16,16,-66.0
16,17,-63.0
16,18,-62.0
16,19,-62.0
16,20,-60.0
16,21,-60.0
16,22,-60.0
16,23,-59.0
17,0,-66.0
17,1,-65.0
17,2,-62.0
17,3,-62.0
17,4,-61.0
17,5,-62.0
17,6,-61.0
17,7,-61.0
17,8,-62.0
17,9,-64.0
17,10,-66.0
17,11,-69.0
17,12,-74.0
17,13,-75.0
17,14,-73.0
17,15,-71.0
17,16,-66.0
17,17,-63.0
17,18,-61.0
17,19,-61.0
17,20,-61.0
17,21,-60.0
17,22,-59.0
17,23,-58.0
18,0,-71.0
18,1,-66.0
18,2,-65.0
18,3,-64.0
18,4,-62.0
18,5,-62.0
18,6,-61.0
18,7,-61.0
18,8,-61.0
18,9,-63.0
18,10,-63.0
18,11,-66.0
18,12,-67.0
18,13,-68.0
18,14,-70.0
18,15,-75.0
18,16,-70.0
18,17,-65.0
18,18,-62.0
18,19,-62.0
18,20,-60.0
18,21,-60.0
18,22,-60.0
18,23,-59.0
19,0,-71.0
19,1,-71.0
19,2,-68.0
19,3,-68.0
19,4,-67.0
19,5,-66.0
19,6,-63.0
19,7,-62.0
19,8,-61.0
19,9,-61.0
19,10,-63.0
19,11,-65.0
19,12,-63.0
19,13,-63.0
19,14,-66.0
19,15,-71.0
19,16,-76.0
19,17,-66.0
19,18,-63.0
19,19,-62.0
19,20,-62.0
19,21,-62.0
19,22,-62.0
19,23,-60.0
